transaction_id,reason_code,transaction_amount,avs_match,cvv_match,device_trust_score,ip_geo_match,delivery_confirmed,is_digital_good,customer_history_days,prior_disputes,confounder_feature,dispute_won
txn_000000,13.1,110.76,False,True,0.069,True,False,True,153,1,61.977,1
txn_000001,4853,102.44,True,True,0.586,True,True,True,852,0,62.274,0
txn_000002,13.3,83.19,True,True,0.799,True,True,True,329,0,56.494,1
txn_000003,13.1,836.23,True,True,0.764,True,False,False,199,0,53.762,0
txn_000004,10.4,246.43,True,True,0.837,True,True,False,976,0,34.512,0
txn_000005,10.4,578.24,True,True,0.979,True,True,True,498,1,73.062,0
txn_000006,10.4,229.74,True,True,0.996,True,True,False,324,0,42.524,1
txn_000007,4853,194.91,True,True,0.41,False,True,True,502,0,53.473,0
txn_000008,13.3,45.15,True,True,0.502,True,True,False,321,0,52.118,1
txn_000009,13.3,67.91,True,True,0.498,True,True,True,418,0,67.541,1
txn_000010,10.4,492.17,False,True,0.642,True,True,False,291,0,54.46,0
txn_000011,4853,205.87,True,False,0.246,True,True,False,148,0,69.066,0
txn_000012,11.1,13.35,True,True,0.773,True,False,False,985,0,41.971,1
txn_000013,10.4,91.85,True,True,0.127,True,False,False,843,0,62.565,1
txn_000014,10.4,222.39,True,True,0.951,True,True,True,8,0,23.516,1
txn_000015,10.4,5.0,True,True,0.125,True,False,False,106,0,40.783,0
txn_000016,13.1,27.5,True,True,0.743,False,True,False,957,0,68.439,1
txn_000017,13.1,649.65,True,True,0.397,False,True,False,694,0,77.148,1
txn_000018,13.1,156.77,True,True,0.634,True,True,True,143,0,40.153,1
txn_000019,10.4,138.54,True,True,0.314,True,True,False,516,0,69.855,1
txn_000020,13.3,135.84,True,True,0.12,True,True,True,748,0,43.192,1
txn_000021,10.4,14.2,True,True,0.938,True,False,True,596,0,4.124,0
txn_000022,10.4,334.7,True,True,0.51,False,True,False,505,0,49.461,0
txn_000023,13.1,178.09,True,False,0.301,True,True,True,106,0,48.104,0
txn_000024,13.1,227.31,True,True,0.624,True,True,False,45,0,75.965,1
txn_000025,13.3,113.72,True,True,0.258,True,True,True,362,1,51.213,1
txn_000026,10.4,28.42,True,True,0.04,False,False,False,715,0,42.634,0
txn_000027,13.1,221.03,True,False,0.794,True,False,False,169,0,33.668,0
txn_000028,13.1,124.86,True,True,0.996,True,True,False,508,0,51.898,0
txn_000029,10.4,231.27,True,True,0.956,True,False,False,757,0,65.685,1
txn_000030,13.3,126.55,True,True,0.88,True,False,True,337,0,27.733,1
txn_000031,10.4,372.5,True,True,0.747,True,True,True,35,1,29.873,0
txn_000032,10.4,111.47,False,True,0.162,False,True,True,816,0,59.934,0
txn_000033,4853,56.95,True,True,0.156,True,False,False,802,0,67.161,0
txn_000034,4853,188.88,False,False,0.15,True,False,True,172,0,30.073,1
txn_000035,11.1,14.31,True,True,0.46,False,True,False,321,0,65.905,0
txn_000036,13.1,30.56,True,True,0.476,True,False,False,483,0,68.468,0
txn_000037,10.4,193.9,True,False,0.578,True,False,True,417,0,48.72,1
txn_000038,13.3,238.87,True,False,0.227,False,False,False,804,1,30.23,1
txn_000039,13.1,70.87,True,True,0.04,True,True,False,483,0,54.057,1
txn_000040,10.4,423.51,True,True,0.101,True,True,False,948,0,65.494,1
txn_000041,13.1,84.33,True,True,0.069,True,True,False,454,0,76.329,1
txn_000042,10.4,471.9,True,True,0.793,True,True,False,941,0,52.967,0
txn_000043,4853,56.28,True,True,0.135,True,False,True,835,0,36.016,0
txn_000044,10.4,294.3,True,True,0.75,True,False,False,773,0,50.894,1
txn_000045,13.3,52.65,True,True,0.107,False,True,False,145,0,82.055,0
txn_000046,13.1,315.97,True,True,0.496,False,False,False,304,0,52.292,0
txn_000047,13.1,665.71,True,True,0.288,True,False,False,204,0,44.924,1
txn_000048,13.1,48.17,True,True,0.651,True,True,True,286,0,29.804,1
txn_000049,10.4,47.26,True,True,0.146,True,False,False,607,0,30.356,0
txn_000050,4853,7.3,True,True,0.589,False,False,False,290,0,55.616,0
txn_000051,13.3,11.82,True,True,0.572,False,False,True,664,0,32.047,1
txn_000052,4853,977.92,True,True,0.403,False,True,True,946,0,77.935,0
txn_000053,4853,23.15,False,True,0.482,True,True,False,999,0,42.432,0
txn_000054,13.1,117.2,True,True,0.147,False,True,True,603,0,56.393,0
txn_000055,4853,25.59,True,True,0.811,True,False,False,486,0,60.38,1
txn_000056,10.4,6.05,True,True,0.605,False,False,False,194,1,61.18,1
txn_000057,10.4,122.1,True,True,0.119,True,True,True,540,0,38.904,1
txn_000058,10.4,33.87,True,True,0.918,True,False,True,778,0,35.807,1
txn_000059,13.1,329.0,True,True,0.623,True,True,False,735,0,29.044,1
txn_000060,13.1,354.42,True,False,0.172,True,True,False,501,0,66.542,1
